iter	Passed	Remaining
0	3	3093
1	6	3085
2	8	2949
3	11	2894
4	14	2899
5	17	2867
6	20	2842
7	22	2825
8	25	2810
9	28	2802
10	31	2846
11	34	2823
12	36	2803
13	39	2792
14	42	2775
15	45	2767
16	47	2749
17	50	2740
18	52	2724
19	55	2710
20	58	2706
21	60	2706
22	63	2695
23	65	2680
24	68	2666
25	71	2663
26	73	2655
27	76	2663
28	79	2659
29	82	2658
30	84	2656
31	87	2651
32	90	2661
33	93	2666
34	96	2661
35	99	2670
36	102	2678
37	105	2679
38	108	2674
39	111	2673
40	114	2668
41	116	2662
42	119	2669
43	122	2667
44	125	2671
45	128	2673
46	131	2673
47	134	2668
48	137	2674
49	140	2675
50	144	2684
51	147	2695
52	151	2701
53	154	2704
54	157	2701
55	159	2692
56	162	2688
57	165	2683
58	168	2687
59	171	2685
60	174	2682
61	178	2693
62	180	2691
63	184	2691
64	186	2688
65	189	2686
66	192	2681
67	195	2682
68	198	2679
69	201	2675
70	204	2672
71	207	2673
72	210	2667
73	212	2663
74	215	2659
75	218	2658
76	221	2652
77	223	2644
78	226	2642
79	229	2637
80	232	2635
81	235	2633
82	238	2634
83	241	2630
84	244	2629
85	247	2629
86	249	2622
87	252	2619
88	255	2619
89	258	2616
90	262	2619
91	265	2620
92	268	2619
93	271	2620
94	274	2617
95	278	2623
96	281	2619
97	284	2620
98	287	2618
99	290	2615
100	294	2618
101	298	2624
102	301	2623
103	304	2622
104	310	2642
105	313	2642
106	316	2638
107	319	2636
108	322	2632
109	325	2637
110	329	2638
111	333	2644
112	337	2650
113	341	2654
114	345	2661
115	350	2673
116	356	2686
117	360	2691
118	364	2698
119	368	2703
120	373	2710
121	377	2720
122	382	2727
123	388	2744
124	393	2756
125	397	2760
126	403	2773
127	406	2771
128	410	2771
129	414	2774
130	417	2772
131	433	2850
132	436	2847
133	440	2845
134	443	2843
135	446	2837
136	449	2834
137	452	2828
138	456	2825
139	467	2869
140	471	2872
141	475	2873
142	479	2870
143	482	2870
144	486	2867
145	490	2869
146	494	2867
147	497	2866
148	502	2872
149	506	2868
150	511	2878
151	516	2883
152	522	2890
153	527	2900
154	540	2946
155	546	2954
156	552	2965
157	561	2990
158	569	3010
159	576	3026
160	586	3053
161	591	3057
162	594	3052
163	599	3057
164	604	3059
165	609	3064
166	617	3078
167	622	3083
168	626	3080
169	631	3082
170	635	3081
171	639	3080
172	643	3076
173	648	3078
174	653	3079
175	658	3080
176	663	3083
177	668	3087
178	673	3087
179	677	3088
180	681	3083
181	685	3081
182	690	3080
183	694	3079
184	699	3080
185	704	3081
186	712	3095
187	717	3097
188	722	3098
189	726	3098
190	729	3091
191	741	3118
192	744	3113
193	747	3107
194	751	3100
195	754	3095
196	759	3094
197	763	3091
198	767	3089
199	771	3084
200	775	3082
201	778	3076
202	781	3069
203	784	3062
204	788	3057
205	793	3058
206	798	3058
207	802	3056
208	807	3054
209	810	3049
210	814	3046
211	818	3041
212	822	3039
213	826	3036
214	830	3030
215	834	3027
216	837	3020
217	840	3015
218	844	3010
219	847	3003
220	850	2996
221	853	2989
222	855	2981
223	858	2975
224	861	2968
225	867	2972
226	875	2980
227	878	2975
228	882	2972
229	886	2968
230	890	2965
231	894	2960
232	897	2954
233	900	2949
234	904	2943
235	907	2936
236	912	2936
237	915	2932
238	919	2927
239	923	2925
240	927	2922
241	933	2922
242	937	2919
243	941	2918
244	946	2916
245	952	2920
246	957	2919
247	963	2920
248	966	2914
249	969	2909
250	972	2902
251	975	2896
252	978	2889
253	981	2883
254	984	2877
255	988	2871
256	991	2866
257	994	2861
258	998	2855
