Absolute Magnitude,Epoch Date Close Approach,Relative Velocity km per sec,Miss Dist.(kilometers),Orbit Uncertainity,Minimum Orbit Intersection,Eccentricity,Inclination,Asc Node Longitude,Perihelion Distance,Perihelion Arg,Mean Anomaly,Hazardous,Est Dia in M(avg),Jupiter Tisserand Invariant and Mean Motion,Epoch Osculation and Perihelion Time,Semi Major Axis and Orbital Period,Semi Major Axis and Aphelion Dist,Orbital Period and Aphelion Dist
21.6,788947200000,6.1158343887,62753692.0,5,0.0252819,0.4255490832802685,6.025981287138329,314.3739134134077,0.808258932678493,57.25746987539545,264.8375332988031,1,205.84608752135,7.846903917258448,0.9999344462472478,0.0023080902160488746,0.7014840889932348,303.9240338681721
21.3,788947200000,18.1139850263,57298148.0,3,0.186935,0.3516743045868617,28.41299637199041,136.7172416568082,0.7181996160227876,313.0919748302692,173.7411119891742,0,236.3429308586,6.455468718016239,1.0000836239683422,0.0026012111450798912,0.7398231930625103,284.41489437021
20.3,789552000000,7.5907111617,7622911.5,0,0.0430579,0.3482482617619956,4.237961002947924,259.4759789450263,0.950790956866954,248.4150381128607,292.8936537794408,1,374.57830220405003,8.146653053746018,0.99995119541516,0.002266731870916703,0.7417031628085489,327.21257080511776
27.4,790156800000,11.1738744976,42683616.0,6,0.0055118,0.2165783078378784,7.905894348125122,57.17326613388248,0.9839015669723666,18.70770087172089,68.74100661777578,0,14.24106985895,7.272834280225642,1.0000399375372455,0.002443000429310354,0.8219775032625853,336.4622835922404
21.6,790156800000,9.8408310539,61010824.0,1,0.034798,0.2104479432284866,16.79338165999116,84.62930679460825,0.9676866361064762,158.2635960713293,135.1421326756292,1,205.84608752135,7.0953088031946425,1.0000756952384755,0.002473002674389406,0.8261404429609891,334.0637078627367
19.6,790156800000,10.8088439585,58759768.0,1,0.272213,0.5634410734978924,17.92775064011703,178.9719507770034,0.5777997876790363,198.1459691510273,354.2373683433312,0,517.0619942241,7.298062405023286,0.9999963781120994,0.002379766357147685,0.6396147683153137,268.7720861311513
19.6,790156800000,10.8088415879,58759532.0,1,0.272213,0.5634411100746358,17.92774837902645,178.9719525667907,0.5777997314074783,198.1459598526758,354.237396160877,0,517.0619942241,7.298062256086266,0.9999963781296575,0.002379766373336243,0.6396147533515107,268.7720780148775
19.2,790761600000,24.4218839949,19324928.0,0,0.0987582,0.4497627959965093,34.69512745281478,112.5629844130883,0.6809045288785588,288.3746511156045,186.7769322776995,0,621.64524614805,6.873116382291396,0.9999015804564997,0.0024611236714882244,0.6897680108507953,280.2654815122303
17.8,790761600000,17.373783837,53598364.0,0,0.109354,0.2381790104348694,22.21521029077527,80.21113209162255,0.8727046815850249,353.4223941040977,182.2364315309588,0,1184.52059704365,6.700139308883509,0.9999100421211491,0.002557963760033037,0.8076376610913336,315.7345986328214
21.5,790761600000,12.8996097219,22709816.0,0,0.0169065,0.551388806833007,2.059576978010798,2.613682368506762,0.3930396461624395,253.7659371965322,119.8613823033982,1,215.54731474814997,5.510614915444871,1.0000405751603252,0.002924949994655835,0.6445837404495601,220.3742770397021
22.4,790761600000,22.4213663146,30075154.0,6,0.000317965,0.4758194774081156,23.18568668072357,117.1112240445536,0.4266183269852852,220.9403707579688,5.556806412851552,0,142.41069858975,5.239314718312255,1.000001684138876,0.003034745378606263,0.6775896478587161,223.27726491831945
25.8,790761600000,17.2746114639,64479012.0,4,0.00186378,0.2048406780030454,13.7442332087249,161.933518574421,0.9866251925196996,13.92021256207252,46.68495944704712,0,29.75381215555,7.18261468266011,1.0000266348086477,0.002457834014456756,0.829985257185575,337.6897106573012
25.0,790761600000,12.1185099534,53825524.0,6,0.0187898,0.326860711970322,8.333753551706272,20.49127086505545,0.626176880439848,128.46312989278,66.77697673554127,0,43.00734342095,5.811348747164015,1.0000247308809507,0.0028386086923945504,0.7536586101151869,265.50281908684883
19.1,792230400000,10.8299262895,64425220.0,0,0.214004,0.1493579627014401,21.26523155355708,122.4368331936925,1.125334586264921,297.7298536948962,15.23187454710148,0,650.9424840017,7.506078797539373,1.0000095669544633,0.002380313502870353,0.870050961016192,365.5194830290305
18.8,792230400000,39.6053279147,45023444.0,0,0.102643,0.8610933305709985,10.02263604097735,163.2099234123562,0.2754156130918373,199.3714586963143,37.51725738061909,0,747.38197039275,9.183476600405964,1.0000432376425148,0.0019443249272460689,0.5373185662285901,276.35224889578774
25.2,792230400000,25.2112885836,74196656.0,6,0.0119773,0.4416943551013883,19.76759210755226,243.614950945384,0.4676128055622026,41.6483224835708,96.60735473164922,0,39.22316337185,5.358419532842972,1.0000305674344918,0.002991537041551009,0.6936282967756189,231.8635160258609
20.0,792835200000,3.0890039286,35727636.0,0,0.240288,0.3775493600967308,5.660561156228656,112.1644170272148,1.218854371855342,34.30691815167334,82.35082442826075,0,430.07343420970005,10.531160918611606,1.0000931521142902,0.0019564922066133113,0.7259268008587225,371.03485431986564
21.0,792835200000,20.0192419349,71520800.0,1,0.0984179,0.4527922930841961,8.278695740027688,114.3798292883882,0.4967905021181501,7.392326563703367,36.16756328615697,0,271.35799198045004,5.677598734867827,1.0000129142870697,0.0028733665636776406,0.6883296426890153,239.5551098109869
22.3,792835200000,8.5263208443,69003400.0,3,0.0259126,0.2597323195329087,5.035044225594919,28.8520216092119,0.8635369922219897,271.6146744029957,179.6031185576674,0,149.1223080412,6.86704932368108,1.0000934128529093,0.002534868848088487,0.7938194364742397,313.15996370891105
22.7,792835200000,7.9195240447,16047525.0,4,0.0525422,0.1514158524079464,5.860414922890069,177.8573023304907,0.7753770616300362,90.64125634459155,203.9869515937405,0,124.03453329185,5.777021167483115,0.9999437558307455,0.0028641288763827104,0.8684959460204651,303.23214614467474
26.1,792835200000,4.6554785934,38220508.0,5,0.018587,0.1714328826365063,11.94779476707688,229.0663217594457,0.7781396599409749,227.5499749797063,314.5094251287649,0,25.9144870499,5.872835378107128,0.9999829107600396,0.0028251183408945276,0.8536553948778802,302.1662429219104
20.6,792835200000,2.1643728488,63257484.0,2,0.183818,0.4074703521368719,4.06169556322702,142.2597510835389,1.172302907970777,38.66044217724877,15.11056876015708,0,326.2440628073,10.596663063128192,1.0000173578904865,0.0019464206111325182,0.7104945397121609,365.026210495563
21.7,793440000000,28.4189542612,7261686.5,1,0.0128745,0.8684189074961081,4.035074270183858,342.7842082321538,0.1193090164503963,322.3904957839119,303.9792986106828,1,196.58148744435,5.38929453452995,0.9999799985813316,0.002875157792617021,0.5352118820827566,186.15043788452286
23.9,793440000000,10.551519772,2952796.75,3,0.0109543,0.3988200079942557,3.854342068985657,341.218636234598,0.8163539004249429,237.1733163416558,54.31490079465933,0,71.3744240651,7.653357646891817,1.0000354780129699,0.002349441286194984,0.7148882588789126,304.28011250142936
23.9,793440000000,17.5649076525,64932800.0,1,0.0453154,0.3973810059711997,11.6076647207195,195.3700872141465,0.5666582119956471,315.2418743196193,255.1877435084699,0,71.3744240651,5.826612531972816,0.999960551866985,0.002823334842350352,0.7156244400967694,253.46778899984494
21.3,793440000000,19.223165458,15266183.0,4,0.0140066,0.2494248827236086,35.2402424959676,149.1565598893367,0.8886760131226273,55.21650962102305,141.0296511750646,1,236.3429308586,6.73042920966862,1.0000750033922454,0.002516094367502308,0.8003682444839025,318.0994539876567
26.989,793440000000,7.1641480595,31654442.0,7,0.0071428,0.3179061258474021,4.008314775490596,322.7144944711469,0.705535845388161,249.0178764867158,92.63701924370052,0,17.20848417775,6.26963516447305,1.000040227996474,0.0026919321295920755,0.7587793852593324,281.8716627058182
19.3,794649600000,13.5763026447,52470692.0,0,0.00132059,0.1902842554038815,5.883903317829792,251.5911063365942,0.96320591417408,211.4467739786354,154.0217068187274,1,593.6666012068,6.987256317718613,1.000082491946237,0.002510199824544363,0.8401354512252069,334.68867418859907
22.6,794649600000,11.4702980441,7744736.5,0,0.0341962,0.4282526106821032,5.850410278034516,151.2892418885367,0.7060724025476296,292.6184516502227,178.6926558391438,0,129.8801007541,7.085915143751909,1.0001012353518917,0.002463650227859281,0.7001562556377341,284.1946668079239
23.8,794649600000,11.9306425303,14592393.0,0,0.052677,0.3864587856542614,20.83376792025673,352.9223651783215,0.4681162605167759,351.1788107856062,203.652258647551,0,74.7381970393,5.057809900549399,0.9999569546506526,0.003134343429973491,0.7212619735595716,230.11580883645277
28.6,794649600000,9.8741431619,21946004.0,6,0.00220111,0.2299595839786057,1.990548431564578,336.8735046974825,0.905713006375406,120.0623447551711,157.6102089911095,0,8.19488034725,6.922837709562177,1.0000829946262288,0.002524428246150739,0.8130348452306496,322.06692603379366
21.2,794649600000,15.938707162,25865906.0,6,0.0667857,0.4373989530511649,24.56842188077443,151.7319137192872,0.8115041357986146,97.07781956847644,317.5623087461238,0,247.481430032,7.854916686602323,0.9999696549518136,0.0022795885786208113,0.6957010771973233,305.1871217999495
22.8,794649600000,11.7404134833,49843512.0,6,0.0452308,0.513906570440738,6.812692898480357,64.12627502627186,0.4206435570219426,292.8831880645742,140.1980046848551,0,118.45205970434999,5.478740311205014,1.0000465873234246,0.0029430953187450947,0.6605427438688465,224.4381076147051
23.8,794649600000,11.9306119236,14592338.0,0,0.0515902,0.3864450668773289,20.83340836762825,352.9209234711133,0.468113884379167,351.1779799498096,203.0327732060237,0,74.7381970393,5.057601757912337,0.9999567901561588,0.003134386426739469,0.7212691103963361,230.11492911122414
23.6,795254400000,3.8380167643,12937927.0,0,0.0231683,0.1755281002971447,1.499707987243189,143.9720934468935,0.8945964663125213,2.124647144481263,343.2780837648182,0,81.94880347265,6.529657007172251,0.9999921985811591,0.0026283059189279204,0.8506814934897982,323.66152180518964
19.8,795859200000,14.6506071817,73819112.0,0,0.00864628,0.6596701710312648,1.660280612530236,211.1661458545495,0.3536265012455829,111.2704877710451,339.0708464948791,1,471.5661433514,6.102882069346536,0.999990849836977,0.002685834071227919,0.6025293564073838,224.33603135130284
21.7,795859200000,7.5148753568,74676320.0,0,0.072723,0.1806949354384842,2.883848267500705,42.7745945849694,1.064042018598494,283.6789058830172,282.4479213473536,0,196.58148744435,7.4901769777407265,0.9999526242023695,0.0024023982545649833,0.8469588290633451,352.54722128355405
20.1,795859200000,14.3828211868,62975644.0,0,0.286119,0.6085291129034922,19.76609421451883,228.3483095782694,0.4179850401456034,179.9055930928364,203.2544790124766,0,410.71694111505,6.212706138874618,0.999928621075318,0.0026495427969607317,0.6216859812968754,234.6389656396591
19.9,795859200000,16.5382492667,55719572.0,0,0.00632801,0.2001586683140727,23.76674096359197,157.1413506175398,0.9798490275727472,9.6180260171084,196.5243824380092,1,450.3421707193,7.040916482509305,0.9999085128293139,0.0024735683274434974,0.8332231615714227,336.8506753288608
27.4,795859200000,7.3391408326,10631156.0,7,0.00184403,0.2216354711934581,7.430785914533306,330.7831998198386,0.894825363440914,290.4836428426266,144.1965902347316,0,14.24106985895,6.797173386739927,1.0000733725627005,0.002553429952777009,0.8185747905822223,320.57851819744377
23.9,795859200000,10.5995937061,58869008.0,5,0.110326,0.2254849824771856,8.113962312011777,158.2260557876106,1.090769447365912,28.41222819732559,164.561870327472,0,71.3744240651,7.966427741250256,1.0001135395486398,0.0023070128430242257,0.8160034715224401,353.705647538899
26.9,795859200000,22.8246286413,70754448.0,7,0.00602602,0.2997332703803507,10.27694002800109,171.1772580572293,0.5893665944383424,218.2204921071237,87.3399513801906,0,17.9284447366,5.435171550827594,1.000027836974334,0.002984286824697179,0.7693886297973752,257.81323143275495
21.424,795859200000,20.3742223265,33566916.0,6,0.0890355,0.1478846210086852,39.40701510140626,356.5439054824789,1.05313973556283,218.6018120381645,90.33855226043312,0,223.22488960430002,6.907501350706638,1.000051237830296,0.00246267881981944,0.8711676955139148,353.7479952736133
17.3,797324400000,22.9603499373,12975059.0,0,0.0591071,0.7766438887734538,9.064507173740576,352.6914107643232,0.5054986650569561,299.7393341963947,191.4543290913346,0,1491.2230804117999,10.777890827027889,0.9997631834984164,0.0018198705053901977,0.5628589985415547,309.2851919268137
26.5,797324400000,7.5164621883,35312740.0,1,0.00576149,0.0139484975142376,4.320908199813253,264.4056022167966,0.9748774271622922,87.81644303895897,58.24402434197092,0,21.5547314748,6.11608757614397,1.0000236347613491,0.0027534447434198694,0.9862433865739398,358.1852836999347
18.8,797324400000,21.5347344882,69933392.0,1,0.264451,0.4445997797497422,40.07490632410602,190.8023227140372,1.249969644744861,16.17455002900164,217.6120228280012,0,747.38197039275,11.009863297562662,0.9998016001976702,0.0018249663614089316,0.6922332496639565,379.31288176157426
28.15,797324400000,13.5922329378,48298924.0,4,4.42295e-05,0.1458940283310568,3.174319580769291,10.44411032877468,0.8824711791485181,85.73153235954244,224.3796113696917,0,10.08190537175,6.303870018964925,0.9999412109327701,0.0026934392652443405,0.8726810466552962,324.0024967023451
20.8,797929200000,8.1878859535,57238648.0,2,0.0497576,0.2962061287988718,7.906473496389842,128.8405407963474,0.7404470355956286,242.293197578416,109.0655767033018,1,297.5381215558,6.347051230130802,1.0000485842537,0.002669176631957784,0.7714822340229549,289.0337884672283
25.6,797929200000,14.0912031607,40237380.0,7,0.024568,0.1986104067958223,15.29060134113289,18.63948790340435,0.691858139126041,344.8005314441176,197.2654367936369,0,32.62440628075,5.531886106359542,0.9999461196516087,0.002946557328104128,0.8342994473685934,283.143802908935
25.4,797929200000,11.1995010545,34836728.0,5,0.0053862,0.177454625327355,1.86779849136472,150.0050896869119,0.7150686610562064,204.9786870571115,114.0409109070574,0,35.77195014895,5.584027144785395,1.000038156895112,0.0029363487334500924,0.8492896273790427,289.23322959026103
19.4,798534000000,9.3048655227,5421688.5,1,0.0215286,0.1290438595815365,15.08972042172532,215.4436355173162,0.924256148461097,61.17301359257869,301.4816144786948,1,566.94720272105,6.397573325705125,0.999973592684186,0.002657685222769325,0.8857051845360865,333.2618840440314
21.0,798534000000,26.0538805106,59935336.0,1,0.175606,0.5458440282992364,10.42495328796337,114.7292730820402,0.6753990636889152,354.1692340425912,144.331764664412,0,271.35799198045004,8.05940859793712,1.0001080577560855,0.0022450388488188993,0.6468957939438542,288.1445879140051
20.9,798534000000,19.2686125665,65708916.0,0,0.0337336,0.523263108804333,23.27720540354022,65.77208245525733,0.5635739270145939,110.1549531441406,164.4894216808606,1,284.1467001445,6.713402152004991,1.0000872766431776,0.0025180567099176163,0.6564854057188702,260.7111282018539
19.4,798534000000,9.3048655241,5421688.5,1,0.020437,0.1290153472152782,15.0900047631558,215.4428312993687,0.924281132558361,61.18913869575113,121.790814642756,1,566.94720272105,6.397518577617452,1.0000549594958792,0.0026576928039779234,0.885727552301663,333.2693496313581
18.9,799916400000,14.3425306846,33947260.0,0,0.00433054,0.5324847482604941,8.168524524209124,299.0216815675574,0.9836605618535968,332.9520294576553,104.1327876318541,1,713.74424065115,10.95848967566248,1.0001311996400113,0.0018874559951155884,0.6525350422802503,345.72198979414554
